H1,אָב
H3731,כַּפְתֹּר
H3732,כַּפְתֹּרִי
H3733,כַּר
H3734,כֹּר
H3735,כָּרָא
H3736,כַּרְבֵּל
H3737,כַּרבְּלָא
H3738,כָּרָה
H3739,כָּרָה
H3740,כֵּרָה
H3741,כָּרָה
H3742,כְּרוּב
H3743,כְּרוּב
H3744,כָּרוֹז
H3745,כְּרַז
H3746,כָּרִי
H3747,כְּרִית
H3748,כְּרִיתוּת
H3749,כַּרְכֹּב
H3750,כַּרְכֹּם
H3751,כַּרְכְּמִישׁ
H3752,כַּרְכַּס
H3753,כַּרְכָּרָה
H3754,כֶּרֶם
H3755,כֹּרֵם
H3756,כַּרמִי
H3757,כַּרמִי
H3758,כַּרמִיל
H3759,כַּרמֶל
H3760,כַּרמֶל
H3761,כַּרמְלִי
H3762,כַּרְמְלִית
H3763,כְּרָן
H3764,כָּרסֵא
H3765,כִּרסֵם
H3766,כָּרַע
H3767,כָּרָע
H3768,כַּרפַּס
H3769,כָּרַר
H3770,כְּרֵשׂ
H3771,כַּרשְׁנָא
H3772,כָּרַת
H3773,כָּרֻתָה
H3774,כְּרֵתִי
H3775,כֶּשֶׂב
H3776,כִּשְׂבָּה
H3777,כֶּשֶׂד
H3778,כַּשׂדִּי
H3779,כַּשְׂדַּי
H3780,כָּשָׂה
H3781,כַּשִּׁיל
H3782,כָּשַׁל
H3783,כִּשָּׁלוֹן
H3784,כָּשַׁף
H3785,כֶּשֶׁף
H3786,כַּשָּׁף
H3787,כָּשֵׁר
H3788,כִּשׁרוֹן
H3789,כָּתַב
H3790,כְּתַב
H3791,כָּתָב
H3792,כְּתָב
H3793,כְּתֹבֶת
H3794,כִּתִּי
H3795,כָּתִית
H3796,כֹּתֶל
H3797,כְּתַל
H3798,כִּתלִישׁ
H3799,כָּתַם
H3800,כֶּתֶם
H3801,כְּתֹנֶת
H3802,כָּתֵף
H3803,כָּתַר
H3804,כֶּתֶר
H3805,כֹּתֶרֶת
H3806,כָּתַשׁ
H3807,כָּתַת
H3808,לֹא
H3809,לָא
H3810,לֹא דְּבַר
H3811,לָאָה
H3812,לֵאָה
H3813,לָאַט
H3814,לָאט
H3815,לָאֵל
H3816,לְאֹם
H3817,לְאֻמִּים
H3818,לֹא עַמִּי
H3819,לֹא רֻחָמָה
H3820,לֵב
H3821,לֵב
H3822,לְבָאוֹת
H3823,לָבַב
H3824,לֵבָב
H3825,לְבַב
H3826,לִבָּה
H3827,לַבָּה
H3828,לְבוֹנָה
H3829,לְבוֹנָה
H3830,לְבוּשׁ
H3831,לְבוּשׁ
H3832,לָבַט
H3833,לָבִיא
H3834,לָבִיבָה
H3835,לָבַן
H3836,לָבָן
H3837,לָבָן
H3838,לְבָנָא
H3839,לִבנֶה
H3840,לִבנָה
H3841,לִבנָה
H3842,לְבָנָה
H3843,לְבֵנָה
H3844,לְבָנוֹן
H3845,לִבנִי
H3846,לִבנִי
H3847,לָבַשׁ
H3848,לְבַשׁ
H3849,לֹג
H3850,לֹד
H3851,לַהַב
H3852,לֶהָבָה
H3853,לְהָבִים
H3854,לַהַג
H3855,לַהַד
H3856,לָהַהּ
H3857,לָהַט
H3858,לַהַט
H3859,לָהַם
H3860,לָהֵן
H3861,לָהֵן
H3862,לַהֲקָה
H3863,לוּא
H3864,לוּבִי
H3865,לוּד
H3866,לוּדִי
H3867,לָוָה
H3868,לוּז
H3869,לוּז
H3870,לוּז
H3871,לוּחַ
H3872,לוּחִית
H3873,לוֹחֵשׁ
H3874,לוּט
H3875,לוֹט
H3876,לוֹט
H3877,לוֹטָן
H3878,לֵוִי
H3879,לֵוִי
H3880,לִויָה
H3881,לֵוִיִי
H3882,לִויָתָן
H3883,לוּל
H3884,לוּלֵא
H3885,לוּן
H3886,לוַּע
H3887,לוּץ
H3888,לוּשׁ
H3889,לוּשׁ
H3890,לְוָת
H3891,לְזוּת
H3892,לחַ
H3893,לֵחַ
H3894,לָחוּם
H3895,לְחִי
H3896,לֶחִי
H3897,לָחַךְ
H3898,לָחַם
H3899,לֶחֶם
H3900,לְחֶם
H3901,לָחֶם
H3902,לַחמִי
H3903,לַחמָס
H3904,לְחֵנָה
H3905,לָחַץ
H3906,לַחַץ
H3907,לָחַשׁ
H3908,לַחַשׁ
H3909,לָט
H3910,לֹט
H3911,לְטָאָה
H3912,לְטוּשִׁם
H3913,לָטַשׁ
H3914,לֹיָה
H3915,לַיִל
H3916,לֵילְיָא
H3917,לִילִית
H3918,לַיִשׁ
H3919,לַיִשׁ
H3920,לָכַד
H3921,לֶכֶד
H3922,לֵכָה
H3923,לָכִישׁ
H3924,לֻלָאָה
H3925,לָמַד
H3926,לְמוֹ
H3927,לְמוּאֵל
H3928,לִמּוּד
H3929,לֶמֶךְ
H3930,לֹעַ
H3931,לָעַב
H3932,לָעַג
H3933,לַעַג
H3934,לָעֵג
H3935,לַעְדָּה
H3936,לַעְדָּן
H3937,לָעַז
H3938,לָעַט
H3939,לַעֲנָה
H3940,לַפִּיד
H3941,לַפִּידוֹת
H3942,לִפנַי
H3943,לָפַת
H3944,לָצוֹן
H3945,לָצַץ
H3946,לַקּוּם
H3947,לָקחַ
H3948,לֶקחַ
H3949,לִקחִי
H3950,לָקַט
H3951,לֶקֶט
H3952,לָקַק
H3953,לָקַשׁ
H3954,לֶקֶשׁ
H3955,לְשַׁד
H3956,לָשׁוֹן
H3957,לִשְׁכָּה
H3958,לֶשֶׁם
H3959,לֶשֶׁם
H3960,לָשַׁן
H3961,לִשָּׁן
H3962,לֶשַׁע
H3963,לֶתֶךְ
H3964,מָא
H3965,מַאֲבוּס
H3966,מְאֹד
H3967,מֵאָה
H3968,מֵאָה
H3969,מְאָה
H3970,מַאֲוַי
H3971,מאוּם
H3972,מְאוּמָה
H3973,מָאוֹס
H3974,מָאוֹר
H3975,מְאוּרָה
H3976,מֹאזֵן
H3977,מֹאזֵן
H3978,מַאֲכָל
H3979,מַאֲכֶלֶת
H3980,מַאֲכֹלֶת
H3981,מַאֲמָץ
H3982,מַאֲמַר
H3983,מֵאמַר
H3984,מָאן
H3985,מָאֵן
H3986,מָאֵן
H3987,מֵאֵן
H3988,מָאַס
H3989,מַאֲפֶה
H3990,מַאֲפֵל
H3991,מַאֲפֵלְיָה
H3992,מָאַר
H3993,מַאֲרָב
H3994,מְאֵרָה
H3995,מִבְדָּלָה
H3996,מָבוֹא
H3997,מְבוֹאָה
H3998,מְבוּכָה
H3999,מַבּוּל
H4000,מָבוֹן
H4001,מְבוּסָה
H4002,מַבּוַּע
H4003,מְבוּקָה
H4004,מִבְחוֹר
H4005,מִבְחָר
H4006,מִבְחָר
H4007,מַבָּט
H4008,מִבְטָא
H4009,מִבְטָח
H4010,מַבְלִיגִית
H4011,מִבנֶה
H4012,מְבֻנַּי
H4013,מִבצָר
H4014,מִבְצָר
H4015,מִברָח
H4016,מָבֻשׁ
H4017,מִבשָׂם
H4018,מְבַשְּׁלָה
H4019,מַגְבִּישׁ
H4020,מִגְבָּלָה
H4021,מִגְבָּעָה
H4022,מֶגֶד
H4023,מְגִדּוֹן
H4024,מִגדּוֹל
H4025,מַגְדִּיאֵל
H4026,מִגדָּל
H4027,מִגְדַּל־אֵל
H4028,מִגְדַּל־גָּד
H4029,מִגְדַּל־עֵדֶר
H4030,מִגְדָּנָה
H4031,מָגוֹג
H4032,מָגוֹר
H4033,מָגוּר
H4034,מְגוֹרָה
H4035,מְגוּרָה
H4036,מָגוֹר מִסָּבִיב
H4037,מַגזֵרָה
H4038,מַגָּל
H4039,מְגִלָּה
H4040,מְגִלָּה
H4041,מְגַמָּה
H4042,מָגַן
H4043,מָגֵן
H4044,מְגִנָּה
H4045,מִגעֶרֶת
H4046,מַגֵּפָה
H4047,מַגפִּיעָשׁ
H4048,מָגַר
H4049,מְגַר
H4050,מְגֵרָה
H4051,מִגרוֹן
H4052,מִגרָעָה
H4053,מִגרָפָה
H4054,מִגרָשׁ
H4055,מַד
H4056,מַדְבַּח
H4057,מִדְבָּר
H4058,מָדַד
H4059,מִדַּד
H4060,מִדָּה
H4061,מִדָּה
H4062,מַדהֵבָה
H4063,מֶדֶו
H4064,מַדוֶה
H4065,מַדּוּחַ
H4066,מָדוֹן
H4067,מָדוֹן
H4068,מָדוֹן
H4069,מַדּוַּע
H4070,מְדוֹר
H4071,מְדוּרָה
H4072,מִדחֶה
H4073,מְדַחפָה
H4074,מָדַי
H4075,מָדַי
H4076,מָדַי
H4077,מָדַי
H4078,מַדַּי
H4079,מִדיָן
H4080,מִדיָן
H4081,מִדִּין
H4082,מְדִינָה
H4083,מְדִינָה
H4084,מִדיָנִי
H4085,מְדֹכָה
H4086,מַדמֵן
H4087,מַדמֵנָה
H4088,מַדמֵנָה
H4089,מַדמַנָּה
H4090,מְדָן
H4091,מְדָן
H4092,מְדָנִי
H4093,מַדָּע
H4094,מַדקָרָה
H4095,מַדרֵגָה
H4096,מִדרָךְ
H4097,מִדרָשׁ
H4098,מְדֻשָּׁה
H4099,מְדָתָא
H4100,מָה
H4101,מָה
H4102,מָהַהּ
H4103,מְהוּמָה
H4104,מְהוּמָן
H4105,מְהֵיטַבאֵל
H4106,מָהִיר
H4107,מָהַל
H4108,מַהלֵךְ
H4109,מַהֲלָךְ
H4110,מַהֲלָל
H4111,מַהֲלַלאֵל
H4112,מַהֲלֻמָּה
H4113,מַהֲמֹרָה
H4114,מַהפֵּכָה
H4115,מַהפֶּכֶת
H4116,מָהַר
H4117,מָהַר
H4118,מַהֵר
H4119,מֹהַר
H4120,מְהֵרָה
H4121,מַהֲרַי
H4122,מַהֵר שָׁלָל חָשׁ בַּז
H4123,מַהֲתַלָּה
H4124,מוֹאָב
H4125,מוֹאָבִי
H4126,מוֹבָא
H4127,מוּג
H4128,מוּד
H4129,מוֹדַע
H4130,מוֹדַעַת
H4131,מוֹט
H4132,מוֹט
H4133,מוֹטָה
H4134,מוּךְ
H4135,מוּל
H4136,מוּל
H4137,מוֹלָדָה
H4138,מוֹלֶדֶת
H4139,מוּלָה
H4140,מוֹלִיד
H4141,מוּסָב
H4142,מוּסַבָּה
H4143,מוּסָד
H4144,מוֹסָד
H4145,מוּסָדָה
H4146,מוֹסָדָה
H4147,מוֹסֵר
H4148,מוּסָר
H4149,מוֹסֵרָה
H4150,מוֹעֵד
H4151,מוֹעָד
H4152,מוּעָדָה
H4153,מוֹעַדיָה
H4154,מוּעֶדֶת
H4155,מוּעָף
H4156,מוֹעֵצָה
H4157,מוּעָקָה
H4158,מוֹפַעַת
H4159,מוֹפֵת
H4160,מוּץ
H4161,מוֹצָא
H4162,מוֹצָא
H4163,מוֹצָאָה
H4164,מוּצַק
H4165,מוּצָק
H4166,מוּצָקָה
H4167,מוּק
H4168,מוֹקֵד
H4169,מוֹקְדָה
H4170,מוֹקֵשׁ
H4171,מוּר
H4172,מוֹרָא
H4173,מוֹרַג
H4174,מוֹרָד
H4175,מוֹרֶה
H4176,מוֹרֶה
H4177,מוֹרָה
H4178,מוֹרָט
H4179,מוֹרִיָה
H4180,מוֹרָשׁ
H4181,מוֹרָשָׁה
H4182,מוֹרֶשֶׁת גַּת
H4183,מֹרַשְׁתִּי
H4184,מוּשׁ
H4185,מוּשׁ
H4186,מוֹשָׁב
H4187,מוּשִׁי
H4188,מוּשִׁי
H4189,מוֹשְׁכָה
H4190,מוֹשָׁעָה
H4191,מוּת
H4192,מוּת
H4193,מוֹת
H4194,מָוֶת
H4195,מוֹתָר
H4196,מִזְבֵּחַ
H4197,מֶזֶג
H4198,מָזֶה
H4199,מִזָּה
H4200,מֶזֶו
H4201,מְזוּזָה
H4202,מָזוֹן
H4203,מָזוֹן
H4204,מָזוֹר
H4205,מָזוֹר
H4206,מָזִיחַ
H4207,מַזלֵג
H4208,מַזָּלָה
H4209,מְזִמָּה
H4210,מִזמוֹר
H4211,מַזמֵרָה
H4212,מְזַמְּרָה
H4213,מִזעָר
H4214,מִזרֶה
H4215,מְזָרֶה
H4216,מַזָּרָה
H4217,מִזרָח
H4218,מִזרָע
H4219,מִזרָק
H4220,מֵחַ
H4221,מֹחַ
H4222,מָחָא
H4223,מְחָא
H4224,מַחֲבֵא
H4225,מַחְבֶּרֶת
H4226,מְחַבְּרָה
H4227,מַחֲבַת
H4228,מַחֲגֹרֶת
H4229,מָחָה
H4230,מְחוּגָה
H4231,מָחוֹז
H4232,מְחוּיָאֵל
H4233,מַחֲוִים
H4234,מָחוֹל
H4235,מָחוֹל
H4236,מַחֲזֶה
H4237,מֶחֱזָה
H4238,מַחֲזִיאוֹת
H4239,מְחִי
H4240,מְחִידָא
H4241,מִחיָה
H4242,מְחִיר
H4243,מְחִיר
H4244,מַחלָה
H4245,מַחֲלֶה
H4246,מְחוֹלָה
H4247,מְחִלָּה
H4248,מַחלוֹן
H4249,מַחלִי
H4250,מַחלִי
H4251,מַחלֻי
H4252,מַחֲלָף
H4253,מַחלָפָה
H4254,מַחֲלָצָה
H4255,מַחלְקָה
H4256,מַחֲלֹקֶת
H4257,מַחֲלַת
H4258,מַחֲלַת
H4259,מְחֹלָתִי
H4260,מַחֲמָאָה
H4261,מַחמָד
H4262,מַחמֻד
H4263,מַחמָל
H4264,מַחֲנֶה
H4265,מַחֲנֵה־דָּן
H4266,מַחֲנַיִם
H4267,מַחֲנַק
H4268,מַחֲסֶה
H4269,מַחסוֹם
H4270,מַחסוֹר
H4271,מַחסֵיָה
H4272,מָחַץ
H4273,מַחַץ
H4274,מַחְצֵב
H4275,מֶחֱצָה
H4276,מַחֲצִית
H4277,מָחַק
H4278,מֶחקָר
H4279,מָחָר
H4280,מַחֲרָאָה
H4281,מַחֲרֵשָׁה
H4282,מַחֲרֶשֶׁת
H4283,מָחֳרָת
H4284,מַחֲשָׁבָה
H4285,מַחשָׁךְ
H4286,מַחשֹׂף
H4287,מַחַת
H4288,מְחִתָּה
H4289,מַחְתָּה
H4290,מַחְתֶּרֶת
H4291,מְטָא
H4292,מַטאֲטֵא
H4293,מַטְבֵּחַ
H4294,מַטֶּה
H4295,מַטָּה
H4296,מִטָּה
H4297,מֻטֶּה
H4298,מֻטָּה
H4299,מַטוֶה
H4300,מְטִיל
H4301,מַטמוֹן
H4302,מַטָּע
H4303,מַטעַם
H4304,מִטפַּחַת
H4305,מָטַר
H4306,מָטָר
H4307,מַטָּרָא
H4308,מַטרֵד
H4309,מַטרִי
H4310,מִי
H4311,מֵידְבָא
H4312,מֵידָד
H4313,מֵי הַיַּרקוֹן
H4314,מֵי זָהָב
H4315,מֵיטָב
H4316,מִיכָא
H4317,מִיכָאֵל
H4318,מִיכָה
H4319,מִיכָהוּ
H4320,מִיכָיָה
H4321,מִיכָיְהוּ
H4322,מִיכָיָהוּ
H4323,מִיכָל
H4324,מִיכָל
H4325,מַיִם
H4326,מִיָמִן
H4327,מִין
H4328,מְיֻסָּדָה
H4329,מֵיסָךְ
H4330,מִיץ
H4331,מֵישָׁא
H4332,מִישָׁאֵל
H4333,מִישָׁאֵל
H4334,מִישׁוֹר
H4335,מֵישַׁךְ
H4336,מֵישַׁךְ
H4337,מֵישָׁע
H4338,מֵישַׁע
H4339,מֵישָׁר
H4340,מֵיתָר
H4341,מַכְאֹב
H4342,מַכְבִּיר
H4343,מַכְבֵּנָא
H4344,מַכְבַּנַּי
H4345,מַכְבֵּר
H4346,מַכְבָּר
H4347,מַכָּה
H4348,מִכוָה
H4349,מָכוֹן
H4350,מְכוֹנָה
H4351,מְכוּרָה
H4352,מָכִי
H4353,מָכִיר
H4354,מָכִירִי
H4355,מָכַךְ
H4356,מִכלָאָה
H4357,מִכלָה
H4358,מִכלוֹל
H4359,מִכלָל
H4360,מִכלֻל
H4361,מַכֹּלֶת
H4362,מִכמַן
H4363,מִכְמָס
H4364,מַכמָר
H4365,מִכמֶרֶת
H4366,מִכמְתָת
H4367,מַכְנַדְבַי
H4368,מְכֹנָה
H4369,מְכֻנָה
H4370,מִכנָס
H4371,מֶכֶס
H4372,מִכסֶה
H4373,מִכסָה
H4374,מְכַסֶּה
H4375,מַכפֵּלָה
H4376,מָכַר
H4377,מֶכֶר
H4378,מַכָּר
H4379,מִכרֶה
H4380,מְכֵרָה
H4381,מִכרִי
H4382,מְכֵרָתִי
H4383,מִכשׁוֹל
H4384,מַכשֵׁלָה
H4385,מִכְתָּב
H4386,מְכִתָּה
H4387,מִכְתָּם
H4388,מַכְתֵּשׁ
H4389,מַכְתֵּשׁ
H4390,מָלֵא
H4391,מְלָא
H4392,מָלֵא
H4393,מְלֹא
H4394,מִלֻּא
H4395,מְלֵאָה
H4396,מִלֻּאָה
H4397,מַלאָךְ
H4398,מַלאַךְ
H4399,מְלָאכָה
H4400,מַלאֲכוּת
H4401,מַלאָכִי
H4402,מִלֵּאת
H4403,מַלבּוּשׁ
H4404,מַלְבֵּן
H4405,מִלָּה
H4406,מִלָּה
H4407,מִלּוֹא
H4408,מַלּוּחַ
H4409,מַלּוּךְ
H4410,מְלוּכָה
H4411,מָלוֹן
H4412,מְלוּנָה
H4413,מַלּוֹתִי
H4414,מָלחַ
H4415,מְלחַ
H4416,מְלחַ
H4417,מֶלחַ
H4418,מָלָח
H4419,מַלָּח
H4420,מְלֵחָה
H4421,מִלחָמָה
H4422,מָלַט
H4423,מֶלֶט
H4424,מְלַטיָה
H4425,מְלִילָה
H4426,מְלִיצָה
H4427,מָלַךְ
H4428,מֶלֶךְ
H4429,מֶלֶךְ
H4430,מֶלֶךְ
H4431,מְלַךְ
H4432,מֹלֶךְ
H4433,מַלְכָּא
H4434,מַלְכֹּדֶת
H4435,מִלְכָּה
H4436,מַלְכָּה
H4437,מַלְכוּ
H4438,מַלְכוּת
H4439,מַלְכִּיאֵל
H4440,מַלְכִּיאֵלִי
H4441,מַלכִּיָה
H4442,מַלְכִּי־צֶדֶק
H4443,מַלְכִּירָם
H4444,מַלְכִּי שׁוַּע
H4445,מַלכָּם
H4446,מְלֶכֶת
H4447,מֹלֶכֶת
H4448,מָלַל
H4449,מְלַל
H4450,מִלֲלַי
H4451,מַלמָד
H4452,מָלַץ
H4453,מֶלְצָר
H4454,מָלַק
H4455,מַלקוֹחַ
H4456,מַלקוֹשׁ
H4457,מֶלקָח
H4458,מֶלְתָּחָה
H4459,מַלְתָּעָה
H4460,מַמְּגֻרָה
H4461,מֵמַד
H4462,מְמוּכָן
H4463,מָמוֹת
H4464,מַמזֵר
H4465,מִמְכָּר
H4466,מִמְכֶּרֶת
H4467,מַמלָכָה
H4468,מַמלָכוּת
H4469,מַמסָךְ
H4470,מֶמֶר
H4471,מַמרֵא
H4472,מַמְרֹר
H4473,מִמשׁחַ
H4474,מִמשָׁל
H4475,מֶמשָׁלָה
H4476,מִמשָׁק
H4477,מַמְתַּק
H4478,מָן
H4479,מָן
H4480,מִן
H4481,מִן
H4482,מֵן
H4483,מְנָא
H4484,מְנֵא
H4485,מַנְגִּינָה
H4486,מַנְדַּע
H4487,מָנָה
H4488,מָנֶה
H4489,מֹנֶה
H4490,מָנָה
H4491,מִנהָג
H4492,מִנהָרָה
H4493,מָנוֹד
H4494,מָנוֹחַ
H4495,מָנוֹחַ
H4496,מְנוּחָה
H4497,מָנוֹן
H4498,מָנוֹס
H4499,מְנוּסָה
H4500,מָנוֹר
H4501,מְנוֹרָה
H4502,מִנְּזָר
H4503,מִנחָה
H4504,מִנחָה
H4505,מְנַחֵם
H4506,מָנַחַת
H4507,מְנִי
H4508,מִנִּי
H4509,מִניָמִין
H4510,מִניָן
H4511,מִנִּית
H4512,מִנלֶה
H4513,מָנַע
H4514,מַנעוּל
H4515,מַנעָל
H4516,מַנעַם
H4517,מְנַענַע
H4518,מְנַקִּית
H4519,מְנַשֶּׁה
H4520,מְנַשִּׁי
H4521,מְנָת
H4522,מַס
H4523,מָס
H4524,מֵסַב
H4525,מַסְגֵּר
H4526,מִסְגֶּרֶת
H4527,מַסַּד
H4528,מִסְדְּרוֹן
H4529,מָסָה
H4530,מִסָּה
H4531,מַסָּה
H4532,מַסָּה
H4533,מַסוֶה
H4534,מְסוּכָה
H4535,מַסָּח
H4536,מִסחָר
H4537,מָסַךְ
H4538,מֶסֶךְ
H4539,מָסָךְ
H4540,מְסֻכָּה
H4541,מַסֵּכָה
H4542,מִסְכֵּן
H4543,מִסְכְּנָה
H4544,מִסְכֵּנֻת
H4545,מַסֶּכֶת
H4546,מְסִלָּה
H4547,מַסלוּל
H4548,מַסְמֵר
H4549,מָסַס
H4550,מַסַּע
H4551,מַסָּע
H4552,מִסעָד
H4553,מִסְפֵּד
H4554,מִספּוֹא
H4555,מִספָּחָה
H4556,מִספַּחַת
H4557,מִספָּר
H4558,מִספָּר
H4559,מִספֶּרֶת
H4560,מָסַר
H4561,מֹסָר
H4562,מָסֹרֶת
H4563,מִסְתּוֹר
H4564,מַסְתֵּר
H4565,מִסְתָּר
H4566,מַעְבָּד
H4567,מַעְבָד
H4568,מַעֲבֶה
H4569,מַעֲבָר
H4570,מַעגָּל
H4571,מָעַד
H4572,מַעֲדַי
H4573,מַעַדיָה
H4574,מַעֲדָן
H4575,מַעֲדַנָּה
H4576,מַעְדֵּר
H4577,מְעָה
H4578,מֵעֶה
H4579,מֵעָה
H4580,מָעוֹג
H4581,מָעוֹז
H4582,מָעוֹךְ
H4583,מָעוֹן
H4584,מָעוֹן
H4585,מְעוֹנָה
H4586,מְעוּנִי
H4587,מְעוֹנֹתַי
H4588,מָעוּף
H4589,מָעוֹר
H4590,מַעַזיָה
H4591,מָעַט
H4592,מְעַט
H4593,מָעֹט
H4594,מַעֲטֶה
H4595,מַעֲטָפָה
H4596,מְעִי
H4597,מָעַי
H4598,מְעִיל
H4599,מַעיָן
H4600,מָעַךְ
H4601,מַעֲכָה
H4602,מַעֲכָתִי
H4603,מָעַל
H4604,מַעַל
H4605,מַעַל
H4606,מֵעָל
H4607,מֹעַל
H4608,מַעֲלֶה
H4609,מַעֲלָה
H4610,מַעֲלֵה עַקרַבִּים
H4611,מַעֲלָל
H4612,מַעֲמָד
H4613,מָעֳמָד
H4614,מַעֲמָסָה
H4615,מַעֲמָק
H4616,מַעַן
H4617,מַעֲנֶה
H4618,מַעֲנָה
H4619,מַעַץ
H4620,מַעֲצֵבָה
H4621,מַעֲצָד
H4622,מַעְצוֹר
H4623,מַעְצָר
H4624,מַעֲקֶה
H4625,מַעֲקָשׁ
H4626,מַעַר
H4627,מַעֲרָב
H4628,מַעֲרָב
H4629,מַעֲרֶה
H4630,מַעֲרָה
H4631,מְעָרָה
H4632,מְעָרָה
H4633,מַעֲרָךְ
H4634,מַעֲרָכָה
H4635,מַעֲרֶכֶת
H4636,מַעֲרֹם
H4637,מַעֲרָצָה
H4638,מַעֲרָת
H4639,מַעֲשֶׂה
H4640,מַעֲשַׂי
H4641,מַעֲשֵׂיָה
H4642,מַעֲשַׁקָּה
H4643,מַעֲשֵׂר
H4644,מֹף
H4645,מִפְגָּע
H4646,מַפָּח
H4647,מַפֻּחַ
H4648,מְפִיבֹשֶׁת
H4649,מֻפִּים
H4650,מֵפִיץ
H4651,מַפָּל
H4652,מִפלָאָה
H4653,מִפלַגָּה
H4654,מַפָּלָה
H4655,מִפלָט
H4656,מִפלֶצֶת
H4657,מִפלָשׂ
H4658,מַפֶּלֶת
H4659,מִפעָל
H4660,מַפָּץ
H4661,מַפֵּץ
H4662,מִפקָד
H4663,מִפקָד
H4664,מִפרָץ
H4665,מִפרֶקֶת
H4666,מִפרָשׂ
H4667,מִפשָׂעָה
H4668,מַפְתֵּחַ
H4669,מִפְתָּח
H4670,מִפְתָּן
H4671,מֹץ
H4672,מָצָא
H4673,מַצָּב
H4674,מֻצָּב
H4675,מַצָּבָה
H4676,מַצֵּבָה
H4677,מְצֹבָיָה
H4678,מַצֶּבֶת
H4679,מְצַד
H4680,מָצָה
H4681,מֹצָה
H4682,מַצָּה
H4683,מַצָּה
H4684,מַצְהָלָה
H4685,מָצוֹד
H4686,מָצוּד
H4687,מִצוָה
H4688,מְצוֹלָה
H4689,מָצוֹק
H4690,מָצוּק
H4691,מְצוּקָה
H4692,מָצוֹר
H4693,מָצוֹר
H4694,מְצוּרָה
H4695,מַצּוּת
H4696,מֵצחַ
H4697,מִצחָה
H4698,מְצִלָּה
H4699,מְצֻלָּה
H4700,מְצֵלֶת
H4701,מִצנֶפֶת
H4702,מַצָּע
H4703,מִצעָד
H4704,מִצְּעִירָה
H4705,מִצעָר
H4706,מִצעָר
H4707,מִצפֶּה
H4708,מִצפֶּה
H4709,מִצפָּה
H4710,מִצפֻּן
H4711,מָצַץ
H4712,מֵצַר
H4713,מִצרִי
H4714,מִצרַיִם
H4715,מִצרֵף
H4716,מַק
H4717,מַקָּבָה
H4718,מַקֶּבֶת
H4719,מַקֵּדָה
H4720,מִקְדָּשׁ
H4721,מַקהֵל
H4722,מַקְהֵלֹת
H4723,מִקְוֶה
H4724,מִקוָה
H4725,מָקוֹם
H4726,מָקוֹר
H4727,מִקָּח
H4728,מַקָּחָה
H4729,מִקְטָר
H4730,מִקְטֶרֶת
H4731,מַקֵּל
H4732,מִקלוֹת
H4733,מִקלָט
H4734,מִקלַעַת
H4735,מִקנֶה
H4736,מִקנָה
H4737,מִקנֵיָהוּ
H4738,מִקסָם
H4739,מָקַץ
H4740,מַקצוַֹע
H4741,מַקְצֻעָה
H4742,מְקֻצעָה
H4743,מָקַק
H4744,מִקרָא
H4745,מִקרֶה
H4746,מְקָרֶה
H4747,מְקֵרָה
H4748,מִקשֶׁה
H4749,מִקשָׁה
H4750,מִקשָׁה
H4751,מַר
H4752,מַר
H4753,מֹר
H4754,מָרָא
H4755,מָרָא
H4756,מָרֵא
H4757,מְרֹדַךְ בַּלְאֲדָן
H4758,מַראֶה
H4759,מַראָה
H4760,מֻראָה
H4761,מַראָשָׁה
H4762,מַראֵשָׁה
H4763,מְרַאֲשָׁה
H4764,מֵרָב
H4765,מַרְבַד
H4766,מַרְבֶה
H4767,מִרְבָּה
H4768,מַרְבִּית
H4769,מַרְבֵּץ
H4770,מַרְבֵּק
H4771,מַרְגּוַֹע
H4772,מַרְגְּלָה
H4773,מַרְגֵּמָה
H4774,מַרְגֵּעָה
H4775,מָרַד
H4776,מְרַד
H4777,מֶרֶד
H4778,מֶרֶד
H4779,מָרָד
H4780,מַרְדּוּת
H4781,מְרֹדָךְ
H4782,מָרְדְּכַי
H4783,מֻרְדָּף
H4784,מָרָה
H4785,מָרָה
H4786,מֹרָה
H4787,מָררָה
H4788,מָרוּד
H4789,מֵרוֹז
H4790,מְרוֹחַ
H4791,מָרוֹם
H4792,מֵרוֹם
H4793,מֵרוֹץ
H4794,מְרוּצָה
H4795,מָרוּק
H4796,מָרוֹת
H4797,מִרזחַ
H4798,מַרזֵחַ
H4799,מָרחַ
H4800,מֶרחָב
H4801,מֶרחָק
H4802,מַרחֶשֶׁת
H4803,מָרַט
H4804,מְרַט
H4805,מְרִי
H4806,מְרִיא
H4807,מְרִיב בַּעַל
H4808,מְרִיבָה
H4809,מְרִיבָה
H4810,מְרִי בַּעַל
H4811,מְרָיָה
H4812,מְרָיוֹת
H4813,מִריָם
H4814,מְרִירוּת
H4815,מְרִירִי
H4816,מֹרֶךְ
H4817,מֶרְכָּב
H4818,מֶרְכָּבָה
H4819,מַרְכֹּלֶת
H4820,מִרמָה
H4821,מִרמָה
H4822,מְרֵמוֹת
H4823,מִרמָס
H4824,מֵרֹנֹתִי
H4825,מֶרֶס
H4826,מַרסְנָא
H4827,מֵרַע
H4828,מֵרֵַע
H4829,מִרעֶה
H4830,מִרְעִית
H4831,מַרעֲלָה
H4832,מַרפֵּא
H4833,מִרפָּשׂ
H4834,מָרַץ
H4835,מְרֻצָה
H4836,מַרְצֵַע
H4837,מַרְצֶפֶת
H4838,מָרַק
